model;dt;re-plan after #timesteps;planning horizon;v_min [m/s];v_max [m/s];a_min [m/s^2];a_max [m/s^2];delta_min [radians];delta_max [radians];v_delta_min [radians/s];v_delta_max [radians/s];road name;road completion;objective value;avg solve time;max solve time;min solve time;url animation;url stats
Bicycle;10.00ms;5;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-8;8;Infeasible Curve;4.10%;minimize_control_derivatives_offset_maximize_distance: 9575.04;9.62ms;11.07ms;9.11ms;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-BicycleModel-24-02-2025 22:42:18/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-BicycleModel-24-02-2025 22:42:18/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;5;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-8;8;Random;6.85%;minimize_control_derivatives_offset_maximize_distance: -324379.76;4.37ms;5.08ms;3.95ms;"=HYPERLINK(""http://wg-server.net:8000/random-PointMassModel-24-02-2025 22:42:18/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/random-PointMassModel-24-02-2025 22:42:18/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;5;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-8;8;Random;11.43%;minimize_control_derivatives_offset_maximize_distance: -463503.35;10.26ms;12.82ms;9.33ms;"=HYPERLINK(""http://wg-server.net:8000/random-BicycleModel-24-02-2025 22:42:18/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/random-BicycleModel-24-02-2025 22:42:18/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;5;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-8;8;Straight;95.89%;minimize_control_derivatives_offset_maximize_distance: 244078.11;3.92ms;7.74ms;1.72ms;"=HYPERLINK(""http://wg-server.net:8000/straight-PointMassModel-24-02-2025 22:42:18/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/straight-PointMassModel-24-02-2025 22:42:18/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;5;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-8;8;Straight;95.89%;minimize_control_derivatives_offset_maximize_distance: 147989.84;9.00ms;12.91ms;2.39ms;"=HYPERLINK(""http://wg-server.net:8000/straight-BicycleModel-24-02-2025 22:42:18/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/straight-BicycleModel-24-02-2025 22:42:18/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;5;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-8;8;Left Turn;2.10%;minimize_control_derivatives_offset_maximize_distance: 31821542.38;4.54ms;4.71ms;4.36ms;"=HYPERLINK(""http://wg-server.net:8000/left_turn-PointMassModel-24-02-2025 22:42:18/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/left_turn-PointMassModel-24-02-2025 22:42:18/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;5;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-8;8;Left Turn;95.89%;minimize_control_derivatives_offset_maximize_distance: -1096448.93;9.03ms;14.13ms;3.07ms;"=HYPERLINK(""http://wg-server.net:8000/left_turn-BicycleModel-24-02-2025 22:42:18/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/left_turn-BicycleModel-24-02-2025 22:42:18/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;5;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-8;8;Lane Change;23.56%;minimize_control_derivatives_offset_maximize_distance: -368276.62;4.78ms;8.84ms;3.84ms;"=HYPERLINK(""http://wg-server.net:8000/lane_change-PointMassModel-24-02-2025 22:42:18/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/lane_change-PointMassModel-24-02-2025 22:42:18/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;5;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-8;8;Lane Change;95.61%;minimize_control_derivatives_offset_maximize_distance: 1150463.22;7.93ms;14.17ms;2.93ms;"=HYPERLINK(""http://wg-server.net:8000/lane_change-BicycleModel-24-02-2025 22:42:18/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/lane_change-BicycleModel-24-02-2025 22:42:18/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;5;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-8;8;Slalom;0%;minimize_control_derivatives_offset_maximize_distance: 0.00;-;-;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-PointMassModel-24-02-2025 22:42:18/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/slalom-PointMassModel-24-02-2025 22:42:18/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;5;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-8;8;Slalom;37.88%;minimize_control_derivatives_offset_maximize_distance: -1940371.19;9.89ms;13.37ms;8.57ms;"=HYPERLINK(""http://wg-server.net:8000/slalom-BicycleModel-24-02-2025 22:42:18/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/slalom-BicycleModel-24-02-2025 22:42:18/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;5;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-8;8;Elchtest 1;17.25%;minimize_control_derivatives_offset_maximize_distance: 1660029.06;5.60ms;8.07ms;4.41ms;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-PointMassModel-24-02-2025 22:42:18/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-PointMassModel-24-02-2025 22:42:18/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;5;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-8;8;Elchtest 1;46.94%;minimize_control_derivatives_offset_maximize_distance: 11161358.55;10.57ms;17.86ms;7.64ms;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-BicycleModel-24-02-2025 22:42:18/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-BicycleModel-24-02-2025 22:42:18/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;5;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-8;8;Feasible Curve;50.82%;minimize_control_derivatives_offset_maximize_distance: 844956603.92;3.18ms;4.01ms;2.64ms;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-PointMassModel-24-02-2025 22:42:18/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-PointMassModel-24-02-2025 22:42:18/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;5;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-8;8;Feasible Curve;94.09%;minimize_control_derivatives_offset_maximize_distance: 72940274.68;6.46ms;11.85ms;2.34ms;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-BicycleModel-24-02-2025 22:42:18/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-BicycleModel-24-02-2025 22:42:18/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;5;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-8;8;Infeasible Curve;43.11%;minimize_control_derivatives_offset_maximize_distance: 179084115.12;3.09ms;4.27ms;2.68ms;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-PointMassModel-24-02-2025 22:42:18/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-PointMassModel-24-02-2025 22:42:18/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;5;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-8;8;Infeasible Curve;47.90%;minimize_control_derivatives_offset_maximize_distance: 19117034.81;7.62ms;8.73ms;7.04ms;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-BicycleModel-24-02-2025 22:42:18/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-BicycleModel-24-02-2025 22:42:18/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;5;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-8;8;Random;1.05%;minimize_control_derivatives_offset_maximize_distance: -35000.00;5.71ms;5.92ms;5.49ms;"=HYPERLINK(""http://wg-server.net:8000/random-PointMassModel-24-02-2025 22:42:18/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/random-PointMassModel-24-02-2025 22:42:18/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;5;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-8;8;Random;43.22%;minimize_control_derivatives_offset_maximize_distance: 7295002.08;9.56ms;32.46ms;8.08ms;"=HYPERLINK(""http://wg-server.net:8000/random-BicycleModel-24-02-2025 22:42:18/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/random-BicycleModel-24-02-2025 22:42:18/stats.pdf""; ""Stats"")"
