model;dt;re-plan after #timesteps;planning horizon;v_min [m/s];v_max [m/s];a_min [m/s^2];a_max [m/s^2];delta_min [radians];delta_max [radians];v_delta_min [radians/s];v_delta_max [radians/s];road name;road completion;objective name;objective value;avg solve time;Standard deviation;max solve time;min solve time;url animation;url stats
Point Mass;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;16.73%;maximize_distance;31.74;3.81ms;0.43ms;6.11ms;3.21ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-PointMassModel-556f2cf2-5578-416e-867e-8c2f26c2aa65/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;8.10%;maximize_distance;15.36;9.94ms;10.16ms;65.59ms;7.75ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-BicycleModel-7cfed572-ee9c-4b09-bb21-d4a80c3511ea/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.89%;maximize_distance;172.60;3.05ms;3.44ms;47.45ms;0.81ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-PointMassModel-127eb0b6-822c-44d3-a0c2-b69fd0489db8/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;50.00%;maximize_distance;89.99;7.58ms;0.23ms;8.80ms;7.31ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-BicycleModel-1b54f090-56c9-4283-8591-8c09b0e60307/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.86%;maximize_distance;225.86;3.14ms;2.24ms;34.75ms;0.57ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-PointMassModel-b60db430-7df5-4d9c-a5e9-e8b340cd9832/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;22.03%;maximize_distance;51.90;8.08ms;1.68ms;19.42ms;7.38ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-BicycleModel-da079dfc-0256-47e5-9496-cb1b8f0abc92/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;95.75%;maximize_distance;97.56;2.29ms;0.82ms;8.58ms;0.84ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-PointMassModel-acf3e9f5-6755-417f-b55e-b61d7886fa3a/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;39.18%;maximize_distance;39.92;8.03ms;1.86ms;19.40ms;7.18ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-BicycleModel-e292eb04-b77b-40e4-9a46-3120749e7963/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;95.93%;maximize_distance;309.62;1.81ms;0.51ms;7.21ms;0.97ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-PointMassModel-ea58c49e-a99a-4782-89ed-0c2c98da53f6/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;95.93%;maximize_distance;309.61;7.67ms;1.21ms;17.26ms;2.16ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-BicycleModel-41191996-ca79-4dd3-9ea9-cd566b75ba97/stats.pdf""; ""Stats"")"
