model;dt;re-plan after #timesteps;planning horizon;v_min [m/s];v_max [m/s];a_min [m/s^2];a_max [m/s^2];delta_min [radians];delta_max [radians];v_delta_min [radians/s];v_delta_max [radians/s];road name;road completion;objective name;objective value;avg solve time;Standard deviation;max solve time;min solve time;url animation;url stats
Bicycle;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;95.79%;minimize_offset_from_reference_path;-936.91;6.37ms;2.04ms;22.18ms;2.32ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-BicycleModel-9d46ddbc-61c9-4eb3-ae49-2c3e029f3443/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;95.93%;minimize_offset_from_reference_path;-2216.96;2.10ms;0.36ms;5.77ms;1.08ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-PointMassModel-41cd3f96-4810-402f-a2ea-be4b5c03a5d0/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;95.92%;minimize_offset_from_reference_path;-3044.36;6.64ms;1.89ms;30.69ms;2.19ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-BicycleModel-81b891de-97f2-429b-8ab9-75d547244c9e/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;94.81%;minimize_offset_from_reference_path;-524.81;3.79ms;1.56ms;11.91ms;0.57ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-PointMassModel-38be8932-498a-4cb8-acb4-c8121c1b03d6/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;24.52%;minimize_offset_from_reference_path;-100.61;9.00ms;0.69ms;10.38ms;8.07ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-BicycleModel-52f2cc7b-9edd-498e-89ab-32384e1e815f/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;41.83%;minimize_offset_from_reference_path;-281.63;3.44ms;0.45ms;4.72ms;2.83ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-PointMassModel-fc92943b-75d4-4491-b998-801f8101882f/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;73.47%;minimize_offset_from_reference_path;-390.30;7.35ms;1.44ms;13.82ms;4.90ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-BicycleModel-ce142df2-06f6-4ae3-bd4a-75d99b4a2a4a/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;44.91%;minimize_offset_from_reference_path;-265.94;3.53ms;0.72ms;6.51ms;2.79ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-PointMassModel-69ce8525-853b-4613-9c8e-79180d2f5a1d/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;40.10%;minimize_offset_from_reference_path;-201.18;9.78ms;4.32ms;29.33ms;7.37ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-BicycleModel-841cae09-dd97-4261-be6e-dea12ce8ae3b/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;21.92%;minimize_offset_from_reference_path;-531.71;3.56ms;0.68ms;6.96ms;2.94ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-PointMassModel-7b265d04-6bd6-4c56-9931-001b1ca3d926/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;40.43%;minimize_offset_from_reference_path;-1049.79;7.60ms;0.82ms;11.29ms;6.55ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-BicycleModel-f7a5f893-0c8d-4829-a64c-a67b4bcb5c16/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.75%;minimize_offset_from_reference_path;-1076.00;2.74ms;0.72ms;6.01ms;0.95ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-PointMassModel-706e2138-77ba-438d-a162-c6c4f8ae6730/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.82%;minimize_offset_from_reference_path;-1156.35;6.50ms;1.99ms;17.92ms;2.06ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-BicycleModel-91bb1566-023e-4773-a252-e386386c516a/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.76%;minimize_offset_from_reference_path;-708.25;3.02ms;0.74ms;7.02ms;0.91ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-PointMassModel-340787b4-e8e4-43c6-868e-834f925478db/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.77%;minimize_offset_from_reference_path;-775.86;7.78ms;4.68ms;43.76ms;2.46ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-BicycleModel-a209e284-9418-4426-8b39-d513fce6731c/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;95.65%;minimize_offset_from_reference_path;-379.29;2.78ms;2.54ms;21.15ms;0.83ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-PointMassModel-85a65d3c-9f4a-433a-a8f0-249403d3a322/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;29.91%;minimize_offset_from_reference_path;-188.82;8.30ms;1.32ms;10.82ms;6.71ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-BicycleModel-bf69e5cf-dfbc-45c7-9190-a7d18df820e8/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;0%;minimize_offset_from_reference_path;0.00;-;-;-;-;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-PointMassModel-8924b9c7-d539-4ed7-8b86-f7e46943e903/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;95.86%;minimize_offset_from_reference_path;-1033.90;8.05ms;1.98ms;23.50ms;1.47ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-BicycleModel-10f3e986-ca7b-4317-a4f2-27e8b6b9049b/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;94.23%;minimize_offset_from_reference_path;-240.77;3.25ms;1.39ms;9.63ms;0.83ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-PointMassModel-7d59eff9-c29f-4847-8d44-dc129c7df707/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;28.20%;minimize_offset_from_reference_path;-56.69;13.25ms;4.70ms;25.29ms;9.49ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-BicycleModel-f627b8ba-fd0e-4b95-ac63-19e4179d8c9d/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;40.24%;minimize_offset_from_reference_path;-137.86;2.55ms;0.20ms;2.96ms;2.27ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-PointMassModel-b56fc9ed-9cf2-4454-bec5-4f698895b5ed/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;27.93%;minimize_offset_from_reference_path;-89.33;8.40ms;2.88ms;16.50ms;6.96ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-BicycleModel-2cedbf40-a766-4dd6-a49b-3133b7e7ddb6/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;43.59%;minimize_offset_from_reference_path;-129.33;2.43ms;0.22ms;2.95ms;2.09ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-PointMassModel-32f1b616-28c0-4c46-b16e-cc932d3f6e4d/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;0%;minimize_offset_from_reference_path;0.00;-;-;-;-;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-BicycleModel-8a2eba23-64aa-487c-8ce8-2c4f3248924c/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;0%;minimize_offset_from_reference_path;0.00;-;-;-;-;-;"=HYPERLINK(""http://wg-server.net:8000/random-PointMassModel-3715fd55-c6c7-457c-9c79-e9fe3d0e0843/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;9.21%;minimize_offset_from_reference_path;-75.95;9.97ms;1.07ms;12.25ms;9.01ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-BicycleModel-9f963419-f6a7-4ed2-a00c-016dc5e3a121/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.95%;minimize_control_derivatives;2288.90;3.96ms;1.00ms;14.19ms;1.31ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-PointMassModel-d35e3102-dd36-47b2-aa42-eb6e13437577/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.95%;minimize_control_derivatives;4605.92;7.83ms;1.95ms;20.68ms;2.37ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-BicycleModel-8dd9fa0c-f5c0-45a5-8ce7-175718f2af2c/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.96%;minimize_control_derivatives;17158.90;3.73ms;0.55ms;7.94ms;1.13ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-PointMassModel-3213fdbc-93cb-4281-90b7-64a89bc570db/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.96%;minimize_control_derivatives;12220.08;8.17ms;5.40ms;118.34ms;1.39ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-BicycleModel-d45d2b0b-76f2-4d38-9098-753a31993c4c/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;95.89%;minimize_control_derivatives;256902.87;4.06ms;2.45ms;36.71ms;0.85ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-PointMassModel-6bea53a1-6d3f-4ea7-b9d8-281195556773/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;95.85%;minimize_control_derivatives;8655.42;7.58ms;1.52ms;17.50ms;2.05ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-BicycleModel-f85b37cd-56f5-405c-a440-1dfb6e0ad08c/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;14.08%;minimize_control_derivatives;43805.01;4.34ms;0.58ms;8.26ms;3.79ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-PointMassModel-23fb5710-b20f-4c24-94d4-b4d2216119ff/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;95.97%;minimize_control_derivatives;19006.90;7.63ms;1.76ms;45.80ms;1.49ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-BicycleModel-596aa467-c25f-4b84-9687-8a92537b7607/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;94.88%;minimize_control_derivatives;366871.31;4.87ms;1.85ms;15.81ms;1.14ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-PointMassModel-4ad7b70e-1f15-481d-bab0-bdb83fca7f12/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;94.86%;minimize_control_derivatives;396995.79;10.22ms;3.00ms;24.56ms;3.65ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-BicycleModel-08b40fc5-8ae6-4f7e-b3fc-3a0310a09b04/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;71.32%;minimize_control_derivatives;427691.47;4.20ms;0.73ms;8.39ms;3.31ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-PointMassModel-f10a83f1-5833-4b3b-968d-7e466fcff224/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;91.84%;minimize_control_derivatives;634970.56;9.66ms;3.01ms;29.06ms;4.35ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-BicycleModel-c4d0aa1a-c73e-4433-aaf5-6f88eae94ec1/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;43.69%;minimize_control_derivatives;178977.63;4.73ms;1.19ms;9.45ms;3.69ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-PointMassModel-b1ef2c23-5e23-42ac-9991-89b20e2ca681/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;39.43%;minimize_control_derivatives;173644.10;10.95ms;1.39ms;14.29ms;8.94ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-BicycleModel-bd053a6d-5402-415e-a395-77a6a00d57c3/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;15.63%;minimize_control_derivatives;687523.35;5.07ms;1.15ms;10.42ms;3.73ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-PointMassModel-c73d3b54-7b40-4123-9c5b-a3ed93dcc47a/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;80.95%;minimize_control_derivatives;829601.99;9.39ms;1.94ms;33.34ms;7.08ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-BicycleModel-64932af7-fe3b-41fe-87ee-76dbb80f2617/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.86%;minimize_control_derivatives;6371.49;3.95ms;4.04ms;58.56ms;1.25ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-PointMassModel-b153d217-4409-4c2b-b1c9-b66f8dd069b1/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.87%;minimize_control_derivatives;8587.27;7.19ms;1.22ms;10.93ms;1.78ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-BicycleModel-9fd89906-80b2-4539-9b86-a7b6c0afe59b/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.93%;minimize_control_derivatives;18172.19;3.62ms;0.64ms;9.05ms;1.43ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-PointMassModel-d3fd6cae-8050-4252-9425-7c00eae5e7b7/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;22.20%;minimize_control_derivatives;465420.82;8.93ms;0.83ms;11.10ms;7.76ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-BicycleModel-001c551b-a93f-4aa5-954c-f8321aa8e6bf/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;95.76%;minimize_control_derivatives;163852.41;3.33ms;1.16ms;10.44ms;1.30ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-PointMassModel-3f39b80a-8ac4-4e18-ba2d-99e5ea4cf7d8/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;69.82%;minimize_control_derivatives;433438.96;11.32ms;3.13ms;24.85ms;7.65ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-BicycleModel-b8913821-b09d-4e2b-b19f-c3f05d3aee5b/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;95.94%;minimize_control_derivatives;562779.29;3.28ms;0.99ms;9.09ms;1.33ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-PointMassModel-edf0bb7e-b200-4ecc-ac05-8d8a5ef6a0c5/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;25.84%;minimize_control_derivatives;435296.29;9.71ms;2.53ms;27.09ms;7.51ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-BicycleModel-914995c6-baa8-4b24-abc7-8f882b260cb0/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;94.63%;minimize_control_derivatives;1018517.89;4.31ms;1.45ms;7.32ms;1.42ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-PointMassModel-2723bd4e-dde5-43d7-a225-c6a2f168fb3b/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;94.77%;minimize_control_derivatives;734169.07;11.24ms;5.63ms;52.82ms;3.75ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-BicycleModel-f112eb13-69db-468e-8562-27908884038a/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;42.32%;minimize_control_derivatives;265666.05;6.32ms;1.99ms;11.10ms;3.90ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-PointMassModel-fc310505-8da3-4155-b8e3-ba7a837928c7/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;32.91%;minimize_control_derivatives;56350.05;17.07ms;20.62ms;105.97ms;9.88ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-BicycleModel-ceb9b8b4-bb2c-4dee-b7e9-9d80292f7ce9/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;44.91%;minimize_control_derivatives;270992.02;4.81ms;2.10ms;12.58ms;3.41ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-PointMassModel-226373b1-80c3-4093-9575-2d594c9ba3da/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;31.12%;minimize_control_derivatives;26382.28;10.21ms;0.76ms;12.14ms;9.34ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-BicycleModel-f57487f1-c086-4255-b9b1-45febfffe156/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;14.77%;minimize_control_derivatives;962021.32;6.09ms;1.92ms;12.54ms;4.33ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-PointMassModel-feca5096-a0ed-4418-a064-92d7eaf2573e/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;71.19%;minimize_control_derivatives;1463186.23;10.31ms;1.68ms;22.30ms;7.90ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-BicycleModel-7efda683-91f2-4a8b-a59d-f140c2961f2a/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.80%;minimize_control_derivatives;5738.71;3.70ms;1.50ms;12.41ms;1.23ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-PointMassModel-64588ec3-8ab2-40fc-b6c2-997f8c844de3/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.81%;minimize_control_derivatives;18713.84;8.24ms;1.99ms;15.28ms;2.77ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-BicycleModel-f96ce674-c839-4741-81e6-abebb33f3dc4/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.87%;minimize_control_derivatives;23686.77;4.26ms;2.29ms;20.54ms;1.37ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-PointMassModel-35f4801d-3a7a-40da-ada9-b90b21df799b/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;26.45%;minimize_control_derivatives;674361.19;10.54ms;2.09ms;21.30ms;8.66ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-BicycleModel-cf8396a1-7f3b-415b-92b9-0742cf18b933/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;35.70%;minimize_control_derivatives;518596.52;5.10ms;1.73ms;11.28ms;3.28ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-PointMassModel-dfc705bf-336c-4690-9531-47a5a9720476/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;50.42%;minimize_control_derivatives;262838.87;11.85ms;10.01ms;64.77ms;8.43ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-BicycleModel-a671d6b0-e3e2-45cd-909e-2f0f27517547/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;0%;minimize_control_derivatives;0.00;-;-;-;-;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-PointMassModel-393e0319-24d5-4529-b2cb-07236de978e4/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;13.24%;minimize_control_derivatives;265094.54;10.72ms;1.25ms;15.25ms;9.20ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-BicycleModel-ebfc9edc-a006-427a-b4e2-9a4307e528a6/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;94.30%;minimize_control_derivatives;3726556.56;4.22ms;1.73ms;11.12ms;1.30ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-PointMassModel-569ea5a1-0b42-4fd4-8868-75fa4b81c389/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;35.22%;minimize_control_derivatives;570874.44;11.18ms;1.09ms;13.15ms;9.41ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-BicycleModel-745dc773-ca79-438e-8526-1ee283edef6d/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;40.31%;minimize_control_derivatives;167439.67;5.44ms;3.20ms;14.98ms;3.16ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-PointMassModel-f0476561-2e2a-43ca-ba49-33b5e02850ee/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;40.70%;minimize_control_derivatives;118291.35;9.27ms;1.14ms;11.68ms;7.48ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-BicycleModel-24cf6ea1-6fcd-429f-821c-745af7c66e85/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;43.70%;minimize_control_derivatives;168941.59;4.13ms;1.18ms;7.26ms;3.03ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-PointMassModel-adabeac3-11a2-4129-b35d-6b32568ce866/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;0%;minimize_control_derivatives;0.00;-;-;-;-;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-BicycleModel-5b9f1a1d-4d69-4a39-876a-1f667188bd15/stats.pdf""; ""Stats"")"
